codigo_material,descricao,categoria,estoque_sistema,estoque_fisico,divergencia_qtd,divergencia_perc,divergencia_valor,score_acuracidade,classe_acuracidade,valor_estoque,valor_estoque_fisico
MAT-00782,Ácido Cobre,Químico,4,3,-1,-25.0,-817.11,75.0,F,3268.44,2451.33
MAT-02818,Caneta Aço,Escritório,34,27,-7,-20.59,-5.6000000000000005,79.41,F,27.200000000000003,21.6
MAT-00673,Furadeira Plástico,Ferramentas,5,4,-1,-20.0,-87.12,80.0,D,435.6,348.48
MAT-01609,Pasta Cobre,Escritório,3697,2959,-738,-19.96,-64973.520000000004,80.03999999999999,D,325483.88,260510.36000000002
MAT-00758,Chave Plástico,Ferramentas,281,225,-56,-19.93,-5519.360000000001,80.07,D,27695.36,22176.0
MAT-00473,Chave Cobre,Ferramentas,161,129,-32,-19.88,-52622.4,80.12,D,264756.45,212134.05000000002
MAT-02567,Grampeador Aço,Escritório,252,202,-50,-19.84,-255.50000000000003,80.16,D,1287.72,1032.22
MAT-01352,Furadeira Alumínio,Ferramentas,367,295,-72,-19.62,-385.92,80.38,D,1967.1200000000001,1581.2
MAT-02050,Papel Latão,Escritório,4656,3763,-893,-19.18,-1279802.9500000002,80.82,D,6672746.4,5392943.45
MAT-00670,Grampeador em Plástico,Escritório,1452,1174,-278,-19.15,-475405.01999999996,80.85,D,2483050.6799999997,2007645.66
MAT-02142,Grampeador Alumínio,Escritório,3896,3185,-711,-18.25,-3889.1699999999996,81.75,D,21311.12,17421.95
MAT-01041,Alicate Latão,Ferramentas,2602,2132,-470,-18.06,-11115.5,81.94,D,61537.299999999996,50421.799999999996
MAT-02884,Serra Latão,Ferramentas,4030,3305,-725,-17.99,-3414.75,82.01,D,18981.3,15566.55
MAT-02191,Chave Aço,Ferramentas,966,793,-173,-17.91,-1067.41,82.09,D,5960.22,4892.8099999999995
MAT-01442,Clips Alumínio,Escritório,2219,1822,-397,-17.89,-185696.75,82.11,D,1037937.25,852240.5
MAT-02199,Martelo PVC,Ferramentas,932,767,-165,-17.7,-66.0,82.3,D,372.8,306.8
MAT-00993,Clips Cobre,Escritório,1961,1616,-345,-17.59,-13972.5,82.41,D,79420.5,65448.0
MAT-02527,Furadeira em Aço,Ferramentas,309,255,-54,-17.48,-89.64,82.52,D,512.9399999999999,423.29999999999995
MAT-00898,Chave PVC,Ferramentas,4673,3857,-816,-17.46,-7123.68,82.53999999999999,D,40795.29,33671.61
MAT-02214,Pasta Latão,Escritório,786,651,-135,-17.18,-68949.9,82.82,D,401441.64,332491.74
MAT-02901,Chave PVC,Ferramentas,2295,1904,-391,-17.04,-1700.85,82.96000000000001,D,9983.25,8282.4
MAT-01321,Alicate Alumínio,Ferramentas,2330,1937,-393,-16.87,-26417.46,83.13,D,156622.6,130205.14
MAT-00050,Clips Aço,Escritório,1863,1550,-313,-16.8,-2885.86,83.2,D,17176.86,14291.000000000002
MAT-01608,Clips Plástico,Escritório,268,223,-45,-16.79,-279.9,83.21000000000001,D,1666.96,1387.06
MAT-00706,Pasta Inox,Escritório,3388,2824,-564,-16.65,-6158.88,83.35,D,36996.96,30838.079999999998
MAT-01885,Serra Alumínio,Ferramentas,1978,1651,-327,-16.53,-30505.83,83.47,D,184527.62000000002,154021.79
MAT-02124,Furadeira PVC,Ferramentas,4405,3683,-722,-16.39,-652984.02,83.61,D,3983926.05,3330942.03
MAT-00861,Martelo Latão,Ferramentas,4323,3615,-708,-16.38,-159880.56,83.62,D,976219.86,816339.2999999999
MAT-02166,Grampeador Inox,Escritório,565,474,-91,-16.11,-108183.53,83.89,D,671688.95,563505.4199999999
MAT-01300,Papel PVC,Escritório,3097,2601,-496,-16.02,-259269.12000000002,83.98,D,1618863.84,1359594.72
MAT-00849,Alicate Aço,Ferramentas,351,295,-56,-15.95,-62641.59999999999,84.05,D,392628.6,329987.0
MAT-02775,Alicate PVC,Ferramentas,2184,1836,-348,-15.93,-461935.2,84.07,D,2899041.6,2437106.4000000004
MAT-02860,Grampeador Aço,Escritório,3401,2867,-534,-15.7,-3716.64,84.3,D,23670.96,19954.32
MAT-02846,Clips Cobre,Escritório,3523,2984,-539,-15.3,-4489.87,84.7,D,29346.59,24856.72
MAT-02206,Filtro Latão,Pneumático,172,146,-26,-15.12,-50246.82,84.88,D,332402.04,282155.22
MAT-02076,Filtro Latão,Pneumático,2759,2345,-414,-15.01,-517417.19999999995,84.99,D,3448198.1999999997,2930781.0
MAT-01148,Cabo 10mm² Latão,Elétrico,3516,2993,-523,-14.87,-41588.96,85.13,D,279592.32,238003.36
MAT-01381,Conexão Inox,Hidráulico,2639,2247,-392,-14.85,-333.2,85.15,D,2243.15,1909.95
MAT-02929,Prego Inox,Fixação,4086,3480,-606,-14.83,-2030.1000000000001,85.17,D,13688.1,11658.0
MAT-02344,Sensor Cobre,Eletrônico,2726,2322,-404,-14.82,-731.24,85.18,D,4934.06,4202.82
MAT-01845,Eixo Aço,Mecânico,270,230,-40,-14.81,-84.80000000000001,85.19,D,572.4,487.6
MAT-00900,Correia Cobre,Mecânico,3771,3214,-557,-14.77,-972962.03,85.23,D,6587145.09,5614183.06
MAT-02993,Spray Inox,Lubrificante,4679,3990,-689,-14.73,-813.02,85.27,D,5521.219999999999,4708.2
MAT-06001,MANGUEIRA PVC,Pneumático,34,29,-5,-14.71,-5367.1950458046485,85.28999999999999,D,36496.926311471616,31129.731265666964
MAT-00282,Resistor Aço,Eletrônico,4873,4156,-717,-14.71,-459109.44000000006,85.28999999999999,D,3120279.3600000003,2661169.9200000004
MAT-01973,Conexão Cobre,Hidráulico,4561,3891,-670,-14.69,-603.0,85.31,D,4104.900000000001,3501.9
MAT-02922,Bota Plástico,EPI,1812,1546,-266,-14.68,-1736.98,85.32,D,11832.36,10095.380000000001
MAT-00537,Válvula em PVC,Hidráulico,2694,2299,-395,-14.66,-0.0,85.34,D,0.0,0.0
MAT-00186,Catalisador Latão,Químico,1829,1561,-268,-14.65,-616.4,85.35,D,4206.7,3590.2999999999997
MAT-01612,Filtro Alumínio,Pneumático,4123,3520,-603,-14.63,-4817.97,85.37,D,32942.770000000004,28124.8
MAT-02647,Rolamento Plástico,Mecânico,438,374,-64,-14.61,-5820.16,85.39,D,39831.72,34011.56
MAT-00258,Módulo Cobre,Eletrônico,3834,3279,-555,-14.48,-4628.7,85.52,D,31975.559999999998,27346.86
MAT-00279,Base Aço,Químico,1309,1120,-189,-14.44,-1842.75,85.56,D,12762.75,10920.0
MAT-02266,Alicate Inox,Ferramentas,215,184,-31,-14.42,-0.0,85.58,D,0.0,0.0
MAT-00718,Gancho em Latão,Acessórios,2519,2156,-363,-14.41,-3477.54,85.59,D,24132.02,20654.48
MAT-00624,Interruptor PVC,Elétrico,1333,1141,-192,-14.4,-149800.32,85.6,D,1040019.93,890219.61
MAT-00146,Gancho Inox,Acessórios,675,578,-97,-14.37,-76128.51000000001,85.63,D,529760.25,453631.74000000005
MAT-02490,Pano Cobre,Limpeza,620,531,-89,-14.35,-840.16,85.65,D,5852.799999999999,5012.639999999999
MAT-01832,base Latão,Químico,1745,1495,-250,-14.33,-345.0,85.67,D,2408.1,2063.1
MAT-02587,Ácido Plástico,Químico,949,813,-136,-14.33,-2299.76,85.67,D,16047.59,13747.83
MAT-01878,Papel PVC,Escritório,3439,2947,-492,-14.31,-39483.0,85.69,D,275979.75,236496.75
MAT-02546,Suporte Latão,Acessórios,161,138,-23,-14.29,-665.62,85.71000000000001,D,4659.34,3993.7200000000003
MAT-01980,Válvula Cobre,Hidráulico,3352,2875,-477,-14.23,-39490.83,85.77,D,277512.08,238021.25000000003
MAT-00168,Interruptor Latão,Elétrico,4603,3950,-653,-14.19,-1188.46,85.81,D,8377.460000000001,7189.0
MAT-02195,Mangueira Plástico,Hidráulico,2500,2147,-353,-14.12,-30276.809999999998,85.88,D,214425.0,184148.19
MAT-01246,Furadeira Inox,Ferramentas,255,219,-36,-14.12,-64578.6,85.88,D,457431.75,392853.14999999997
MAT-02774,Capacitor Aço,Eletrônico,1564,1344,-220,-14.07,-510.4,85.93,D,3628.4799999999996,3118.08
MAT-00633,Módulo Cobre,Eletrônico,192,165,-27,-14.06,-989.55,85.94,D,7036.799999999999,6047.25
MAT-02820,Plástico Plástico,Embalagem,4675,4019,-656,-14.03,-342845.27999999997,85.97,D,2443295.25,2100449.97
MAT-01056,Caneta Latão,Escritório,515,443,-72,-13.98,-717.84,86.02,D,5134.55,4416.71
MAT-01905,Capacitor PVC,Eletrônico,3025,2603,-422,-13.95,-738.5,86.05,D,5293.75,4555.25
MAT-02105,Mangueira Alumínio,Hidráulico,380,327,-53,-13.95,-335.49,86.05,D,2405.4,2069.91
MAT-02908,Abraçadeira PVC,Acessórios,4556,3924,-632,-13.87,-1245918.48,86.13,D,8981652.84,7735734.36
MAT-01006,Luva GG Plástico,EPI,1535,1323,-212,-13.81,-116.60000000000001,86.19,D,844.2500000000001,727.6500000000001
MAT-00660,Reagente Aço,Químico,3989,3438,-551,-13.81,-5014.099999999999,86.19,D,36299.9,31285.8
