descricao,qtd_duplicatas,codigos_todos,codigo_manter,codigos_eliminar,categoria,valor_total_estoque,preco_medio,estoque_total
Rolamento Alumínio,23,"MAT-00032, MAT-00049, MAT-00117, MAT-00281, MAT-00392, MAT-00491, MAT-00514, MAT-00676, MAT-00678, MAT-00700, MAT-00803, MAT-00811, MAT-00909, MAT-00989, MAT-01187, MAT-01843, MAT-02160, MAT-02625, MAT-02730, MAT-02747, MAT-02913, MAT-06001, MAT-06001",MAT-00117,"MAT-00032, MAT-00049, MAT-00281, MAT-00392, MAT-00491, MAT-00514, MAT-00676, MAT-00678, MAT-00700, MAT-00803, MAT-00811, MAT-00909, MAT-00989, MAT-01187, MAT-01843, MAT-02160, MAT-02625, MAT-02730, MAT-02747, MAT-02913, MAT-06001, MAT-06001",MÚLTIPLAS,35684376.52984212,341.53211689676084,70184
abraçadeira PVC,8,"MAT-00022, MAT-00092, MAT-00342, MAT-01283, MAT-01923, MAT-02746, MAT-02908, MAT-06001",MAT-02746,"MAT-00022, MAT-00092, MAT-00342, MAT-01283, MAT-01923, MAT-02908, MAT-06001",Acessórios,26772106.79513638,858.5237919707232,26561
Válvula PVC,13,"MAT-00079, MAT-00211, MAT-00298, MAT-00379, MAT-00778, MAT-00940, MAT-01038, MAT-01099, MAT-01613, MAT-01628, MAT-02553, MAT-02958, MAT-06001",MAT-01613,"MAT-00079, MAT-00211, MAT-00298, MAT-00379, MAT-00778, MAT-00940, MAT-01038, MAT-01099, MAT-01628, MAT-02553, MAT-02958, MAT-06001",MÚLTIPLAS,22180812.03060209,483.6493451402995,41069
Plástico Cobre,7,"MAT-00042, MAT-00615, MAT-00799, MAT-02026, MAT-02786, MAT-02961, MAT-06001",MAT-02961,"MAT-00042, MAT-00615, MAT-00799, MAT-02026, MAT-02786, MAT-06001",Embalagem,19846929.56144114,688.4864035561303,24111
Abraçadeira Plástico,8,"MAT-00148, MAT-01131, MAT-01189, MAT-01234, MAT-02007, MAT-02379, MAT-02387, MAT-06001",MAT-01189,"MAT-00148, MAT-01131, MAT-01234, MAT-02007, MAT-02379, MAT-02387, MAT-06001",Acessórios,17750651.208003044,477.97555853692813,25920
Caixa Plástico,15,"MAT-00096, MAT-00197, MAT-00609, MAT-00661, MAT-01423, MAT-01596, MAT-01666, MAT-01855, MAT-01856, MAT-01945, MAT-06001, MAT-06001, MAT-06001, MAT-06001, MAT-06001",MAT-01945,"MAT-00096, MAT-00197, MAT-00609, MAT-00661, MAT-01423, MAT-01596, MAT-01666, MAT-01855, MAT-01856, MAT-06001, MAT-06001, MAT-06001, MAT-06001, MAT-06001",Embalagem,17108558.37503361,278.7438439109853,38586
Disjuntor Inox,8,"MAT-00071, MAT-00334, MAT-00427, MAT-00715, MAT-00991, MAT-01227, MAT-01640, MAT-01979",MAT-01640,"MAT-00071, MAT-00334, MAT-00427, MAT-00715, MAT-00991, MAT-01227, MAT-01979",Elétrico,16991460.57,720.8575000000001,21770
Pasta Aço,11,"MAT-00138, MAT-00354, MAT-00371, MAT-00637, MAT-00843, MAT-01208, MAT-02073, MAT-02194, MAT-02362, MAT-06001, MAT-06001",MAT-01208,"MAT-00138, MAT-00354, MAT-00371, MAT-00637, MAT-00843, MAT-02073, MAT-02194, MAT-02362, MAT-06001, MAT-06001",MÚLTIPLAS,16640279.87157954,436.7666937383158,35166
Mangueira Plástico,11,"MAT-00767, MAT-01026, MAT-01090, MAT-01674, MAT-01681, MAT-01748, MAT-02195, MAT-02507, MAT-02737, MAT-06001, MAT-06001",MAT-01026,"MAT-00767, MAT-01090, MAT-01674, MAT-01681, MAT-01748, MAT-02195, MAT-02507, MAT-02737, MAT-06001, MAT-06001",MÚLTIPLAS,16552341.782690084,412.0339576859432,33120
Óleo Inox,10,"MAT-00709, MAT-01668, MAT-01834, MAT-02123, MAT-02596, MAT-02776, MAT-02812, MAT-02975, MAT-06001, MAT-06001",MAT-00709,"MAT-01668, MAT-01834, MAT-02123, MAT-02596, MAT-02776, MAT-02812, MAT-02975, MAT-06001, MAT-06001",Lubrificante,15935848.495331163,333.31621158778455,36619
Alicate PVC,3,"MAT-00813, MAT-02775, MAT-06001",MAT-00813,"MAT-02775, MAT-06001",Ferramentas,14974003.534990361,1520.057094778749,9187
Retentor Inox,9,"MAT-00409, MAT-01191, MAT-01475, MAT-01835, MAT-02133, MAT-02390, MAT-02889, MAT-06001, MAT-06001",MAT-02133,"MAT-00409, MAT-01191, MAT-01475, MAT-01835, MAT-02390, MAT-02889, MAT-06001, MAT-06001",Peças,14833182.478311485,457.09559580852965,22332
Pano PVC,5,"MAT-00293, MAT-00422, MAT-00740, MAT-02287, MAT-02491",MAT-02491,"MAT-00293, MAT-00422, MAT-00740, MAT-02287",Limpeza,14313485.84,747.902,13281
Prego Cobre,8,"MAT-00087, MAT-00122, MAT-01431, MAT-01798, MAT-02064, MAT-02593, MAT-02694, MAT-06001",MAT-01798,"MAT-00087, MAT-00122, MAT-01431, MAT-02064, MAT-02593, MAT-02694, MAT-06001",Fixação,13562242.987691846,491.2382129887952,26344
Papel Latão,4,"MAT-00458, MAT-02050, MAT-06001, MAT-06001",MAT-02050,"MAT-00458, MAT-06001, MAT-06001",Escritório,13546963.298256122,738.4858059517542,13846
Fluido Inox,14,"MAT-00141, MAT-00193, MAT-00248, MAT-00690, MAT-01180, MAT-01333, MAT-01486, MAT-01847, MAT-01936, MAT-02017, MAT-02847, MAT-06001, MAT-06001, MAT-06001",MAT-00690,"MAT-00141, MAT-00193, MAT-00248, MAT-01180, MAT-01333, MAT-01486, MAT-01847, MAT-01936, MAT-02017, MAT-02847, MAT-06001, MAT-06001, MAT-06001",Lubrificante,13355655.106893817,436.6806147874501,42600
