codigo_material,descricao,categoria,status,dias_sem_movimento,classificacao_giro,faixa_movimento,valor_estoque,estoque_atual
MAT-02750,Pano Alumínio,Limpeza,Ativo,733,Baixo,>730 dias,37495.36,4256
MAT-00517,Interruptor PVC,Elétrico,Ativo,731,Baixo,>730 dias,5152.000000000001,1150
MAT-02469,Bota Cobre,EPI,Ativo,730,Baixo,>730 dias,40221.299999999996,4494
MAT-01049,Luva XG PVC,EPI,Inativo,730,Baixo,>730 dias,28668.8,4624
MAT-01522,Caixa PVC,Embalagem,Ativo,729,Baixo,366-730 dias,24262.56,4814
MAT-01952,Correia PVC,Mecânico,Ativo,726,Baixo,366-730 dias,135595.38,3558
MAT-02756,Pasta Cobre,Escritório,Bloqueado,726,Baixo,366-730 dias,144785.0,2518
MAT-02741,Filtro PVC,Pneumático,Ativo,722,Baixo,366-730 dias,15044.94,4518
MAT-00549,Máscara Plástico,EPI,Bloqueado,721,Baixo,366-730 dias,1903820.1,1365
MAT-00462,Papel Cobre,Escritório,Ativo,720,Baixo,366-730 dias,40797.64000000001,4684
MAT-01233,Ácido Inox,Químico,Ativo,718,Baixo,366-730 dias,12679.47,4077
MAT-02419,LED Latão,Eletrônico,Ativo,718,Baixo,366-730 dias,3092651.6100000003,2199
MAT-00925,Máscara Inox,EPI,Inativo,717,Baixo,366-730 dias,2322272.8800000004,3928
MAT-01878,Papel PVC,Escritório,Ativo,716,Baixo,366-730 dias,275979.75,3439
MAT-01711,Válvula Cobre,Pneumático,Ativo,715,Baixo,366-730 dias,21700.72,4456
MAT-01222,Mangueira Latão,Hidráulico,Ativo,714,Baixo,366-730 dias,120.96000000000001,48
MAT-02079,Lâmpada Alumínio,Elétrico,Ativo,714,Baixo,366-730 dias,109936.66,1499
MAT-06001,Lâmpada Alumínio,Elétrico,Ativo,714,Baixo,366-730 dias,110459.9736471217,1499
MAT-02718,retentor Latão,Peças,Bloqueado,714,Baixo,366-730 dias,6971931.63,4009
MAT-00342,Abraçadeira PVC,Acessórios,Ativo,713,Baixo,366-730 dias,196130.16,2916
MAT-01207,Conexão Cobre,Pneumático,Bloqueado,712,Baixo,366-730 dias,11935.800000000001,3420
MAT-01157,Capacitor Latão,Eletrônico,Bloqueado,711,Baixo,366-730 dias,39296.340000000004,1143
MAT-01678,Ácido Aço,Químico,Ativo,711,Baixo,366-730 dias,6040.72,1288
MAT-00454,pasta Cobre,Escritório,Ativo,709,Baixo,366-730 dias,705.0,282
MAT-01844,Vedação Inox,Peças,Ativo,709,Baixo,366-730 dias,1691347.16,1268
MAT-01817,Rolamento Aço,Peças,Bloqueado,708,Baixo,366-730 dias,26820.56,3034
MAT-02276,Bota Inox,EPI,Ativo,707,Baixo,366-730 dias,3761.24,1919
MAT-00184,Cilindro em Plástico,Pneumático,Inativo,704,Baixo,366-730 dias,6582.43,2447
MAT-01210,Graxa Inox,Lubrificante,Ativo,704,Baixo,366-730 dias,10740.73,2233
MAT-00307,Eixo Plástico,Mecânico,Ativo,703,Baixo,366-730 dias,808.72,3676
MAT-00952,Suporte Plástico,Acessórios,Ativo,703,Baixo,366-730 dias,1937.68,106
MAT-00554,Fita Alumínio,Embalagem,Ativo,701,Baixo,366-730 dias,7342.71,2361
MAT-01384,Grampeador Cobre,Escritório,Ativo,700,Baixo,366-730 dias,14273.16,1966
MAT-02891,Disjuntor Alumínio,Elétrico,Ativo,696,Baixo,366-730 dias,318058.65,4095
MAT-02806,Filtro Cobre,Pneumático,Ativo,696,Baixo,366-730 dias,8161.36,1156
MAT-06001,Óculos Plástico,EPI,Ativo,695,Baixo,366-730 dias,2698.7574255268682,4112
MAT-02310,Óculos Plástico,EPI,Ativo,695,Baixo,366-730 dias,2796.1600000000003,4112
MAT-02992,"Tubo 2"" Aço",Hidráulico,Ativo,694,Baixo,366-730 dias,1097950.44,986
MAT-01100,Conexão Plástico,Hidráulico,Ativo,694,Baixo,366-730 dias,32305.18,1069
MAT-00043,Spray Alumínio,Lubrificante,Bloqueado,692,Baixo,366-730 dias,10205.44,2278
MAT-00897,Capacitor Cobre,Eletrônico,Ativo,691,Baixo,366-730 dias,7057.96,1939
MAT-02145,Graxa PVC,Lubrificante,Ativo,691,Baixo,366-730 dias,10113.75,3875
MAT-01980,Válvula Cobre,Hidráulico,Inativo,691,Baixo,366-730 dias,277512.08,3352
MAT-02542,Luva GG PVC,EPI,Ativo,690,Baixo,366-730 dias,33472.170000000006,4077
MAT-02488,Cilindro Cobre,Pneumático,Ativo,689,Baixo,366-730 dias,533.4000000000001,1905
MAT-01614,Eixo Alumínio,Mecânico,Ativo,689,Baixo,366-730 dias,5125.0,625
MAT-02502,Bota Plástico,EPI,Ativo,689,Baixo,366-730 dias,2467.92,1356
MAT-02368,Anel Alumínio,Peças,Bloqueado,688,Baixo,366-730 dias,0.0,535
MAT-02259,Correia Inox,Mecânico,Bloqueado,688,Baixo,366-730 dias,11873.52,1656
MAT-02615,Plástico Latão,Embalagem,Ativo,687,Baixo,366-730 dias,3081.1200000000003,2352
MAT-01877,Válvula Cobre,Hidráulico,Ativo,687,Baixo,366-730 dias,2598.4,1792
MAT-02686,Interruptor Plástico,Elétrico,Inativo,686,Baixo,366-730 dias,77459.2,1120
MAT-00920,Caixa Latão,Embalagem,Ativo,686,Baixo,366-730 dias,86163.14,4879
MAT-00162,Resistor Alumínio,Eletrônico,Ativo,686,Baixo,366-730 dias,808120.0,3632
MAT-00831,catalisador Latão,Químico,Ativo,686,Baixo,366-730 dias,6475.95,1107
MAT-02007,Abraçadeira Plástico,Acessórios,Inativo,684,Baixo,366-730 dias,52107.72,4539
MAT-02888,Plástico Alumínio,Embalagem,Inativo,683,Baixo,366-730 dias,221853.26,4153
MAT-06001,Óleo Inox,Lubrificante,Ativo,682,Baixo,366-730 dias,115807.12022593261,4890
MAT-01456,Filtro Inox,Pneumático,Ativo,682,Baixo,366-730 dias,24361.48,4259
MAT-00709,Óleo Inox,Lubrificante,Ativo,682,Baixo,366-730 dias,111736.5,4890
MAT-02060,Chave PVC,Ferramentas,Bloqueado,681,Baixo,366-730 dias,350670.75,4569
MAT-01974,Cabo 6mm² Alumínio,Elétrico,Ativo,681,Baixo,366-730 dias,1380.2,1340
MAT-02512,Rebite Inox,Fixação,Ativo,681,Baixo,366-730 dias,35327.36,4624
MAT-02455,Caixa Cobre,Embalagem,Ativo,680,Baixo,366-730 dias,8115.0,2164
MAT-01875,Furadeira Inox,Ferramentas,Ativo,680,Baixo,366-730 dias,260037.5,2930
MAT-02579,Detergente Latão,Limpeza,Ativo,678,Baixo,366-730 dias,6239.53,1441
MAT-02416,caneta Cobre,Escritório,Ativo,678,Baixo,366-730 dias,5754.05,785
MAT-02234,Óculos Plástico,EPI,Bloqueado,677,Baixo,366-730 dias,294124.38,3683
MAT-06001,Prego Alumínio,Fixação,Bloqueado,675,Baixo,366-730 dias,2532405.204658248,2169
MAT-02675,Prego Alumínio,Fixação,Bloqueado,675,Baixo,366-730 dias,2599915.23,2169
MAT-01391,Pasta Cobre,Escritório,Ativo,675,Baixo,366-730 dias,252557.01,3123
MAT-02090,Gancho Plástico,Acessórios,Ativo,674,Baixo,366-730 dias,165477.63999999998,4922
MAT-02107,Pasta em Aço,Escritório,Inativo,674,Baixo,366-730 dias,1995.84,4536
MAT-01388,Fluido Latão,Lubrificante,Ativo,673,Baixo,366-730 dias,4211261.12,4334
MAT-01053,Vedação Inox,Peças,Ativo,673,Baixo,366-730 dias,167833.56,3356
MAT-01731,Luva GG Plástico,EPI,Ativo,671,Baixo,366-730 dias,114052.40000000001,3703
MAT-00146,Gancho Inox,Acessórios,Ativo,669,Baixo,366-730 dias,529760.25,675
MAT-00368,Caixa Latão,Embalagem,Ativo,669,Baixo,366-730 dias,4758.9,3282
MAT-02143,"Tubo 1/2"" Aço",Hidráulico,Bloqueado,669,Baixo,366-730 dias,22192.95,741
MAT-00306,Mangueira Cobre,Hidráulico,Ativo,668,Baixo,366-730 dias,3751.35,445
MAT-02862,Conexão Cobre,Hidráulico,Ativo,668,Baixo,366-730 dias,264877.89999999997,581
MAT-02215,anel Cobre,Peças,Ativo,668,Baixo,366-730 dias,92476.72,3044
MAT-00665,Lâmpada PVC,Elétrico,Inativo,667,Baixo,366-730 dias,9792.42,2406
MAT-00885,Fluido PVC,Lubrificante,Ativo,667,Baixo,366-730 dias,63461.880000000005,972
MAT-06001,Fluido PVC,Lubrificante,Ativo,667,Baixo,366-730 dias,63571.13592430955,972
MAT-06001,Capacete Aço,EPI,Ativo,665,Baixo,366-730 dias,2058684.8681844985,1924
MAT-02404,Capacete Aço,EPI,Ativo,665,Baixo,366-730 dias,2150974.2800000003,1924
MAT-02031,Alicate Cobre,Ferramentas,Ativo,665,Baixo,366-730 dias,3734.5799999999995,1858
MAT-01443,porca M8 Inox,Fixação,Ativo,665,Baixo,366-730 dias,6541.0,1055
MAT-02200,Solvente Cobre,Químico,Ativo,662,Baixo,366-730 dias,3730.94,3694
MAT-01567,Desinfetante PVC,Limpeza,Ativo,662,Baixo,366-730 dias,3259.41,3927
MAT-00198,Porca M12 Alumínio,Fixação,Inativo,662,Baixo,366-730 dias,2040338.4900000002,1973
MAT-01921,"Tubo 1/2"" PVC",Hidráulico,Ativo,660,Baixo,366-730 dias,0.0,608
MAT-01026,Mangueira Plástico,Pneumático,Ativo,660,Baixo,366-730 dias,8461012.040000001,4511
MAT-00021,Módulo Plástico,Eletrônico,Ativo,660,Baixo,366-730 dias,26694.72,2139
MAT-06001,REGISTRO COBRE,Hidráulico,Ativo,659,Baixo,366-730 dias,30362.76734333087,4288
MAT-02709,Porca M10 Aço,Fixação,Ativo,659,Baixo,366-730 dias,852084.1,1379
MAT-02422,Rolamento Aço,Peças,Ativo,659,Baixo,366-730 dias,170418.24000000002,2518
MAT-00728,Óculos Inox,EPI,Ativo,659,Baixo,366-730 dias,11026.349999999999,2061
MAT-00483,Registro Cobre,Hidráulico,Ativo,659,Baixo,366-730 dias,29072.64,4288
MAT-00008,Retentor Alumínio,Peças,Ativo,658,Baixo,366-730 dias,23631.36,4344
MAT-00541,Junta Inox,Peças,Ativo,657,Baixo,366-730 dias,35840.420000000006,4403
MAT-06001,RETENTOR AÇO,Peças,Inativo,657,Baixo,366-730 dias,22399.87213683783,4646
MAT-01103,Retentor Aço,Peças,Inativo,657,Baixo,366-730 dias,23044.16,4646
MAT-00262,Spray Alumínio,Lubrificante,Ativo,657,Baixo,366-730 dias,1245666.6,1278
MAT-01710,Válvula Inox,Pneumático,Ativo,656,Baixo,366-730 dias,41901.6,4740
MAT-00643,"Tubo 3/4"" Alumínio",Hidráulico,Inativo,655,Baixo,366-730 dias,6796.04,2047
MAT-02629,Mangueira Cobre,Pneumático,Ativo,655,Baixo,366-730 dias,1135336.16,952
MAT-02267,Balde Plástico,Limpeza,Ativo,655,Baixo,366-730 dias,18226.920000000002,3148
MAT-00493,Válvula Inox,Hidráulico,Ativo,655,Baixo,366-730 dias,6852.7,4930
MAT-00092,Abraçadeira PVC,Acessórios,Ativo,655,Baixo,366-730 dias,17380.440000000002,2052
MAT-02041,Ácido PVC,Químico,Inativo,654,Baixo,366-730 dias,19353.399999999998,4630
MAT-00843,Pasta Aço,Escritório,Ativo,654,Baixo,366-730 dias,4994.48,1676
MAT-00360,Bucha PVC,Mecânico,Bloqueado,654,Baixo,366-730 dias,252864.30000000002,4485
MAT-02690,Junta Cobre,Peças,Ativo,652,Baixo,366-730 dias,6153953.220000001,3441
MAT-01820,Graxa Aço,Lubrificante,Ativo,650,Baixo,366-730 dias,528.0,660
MAT-01113,Spray PVC,Lubrificante,Ativo,650,Baixo,366-730 dias,8367.41,937
MAT-00269,Balde Aço,Limpeza,Inativo,650,Baixo,366-730 dias,0.0,2222
MAT-01790,Presilha Latão,Acessórios,Inativo,650,Baixo,366-730 dias,151363.43,163
MAT-01897,Junta Latão,Peças,Inativo,649,Baixo,366-730 dias,1243.5500000000002,2261
MAT-01404,Tomada Cobre,Elétrico,Ativo,648,Baixo,366-730 dias,103616.84,1541
MAT-01720,Porca M10 Aço,Fixação,Ativo,646,Baixo,366-730 dias,123204.48,3738
MAT-00798,Serra Cobre,Ferramentas,Ativo,646,Baixo,366-730 dias,19687.8,2983
MAT-02743,Conexão Latão,Pneumático,Ativo,645,Baixo,366-730 dias,3241997.87,1811
MAT-01749,Plástico em Plástico,Embalagem,Ativo,645,Baixo,366-730 dias,29348.75,443
MAT-00889,Suporte Cobre,Acessórios,Ativo,645,Baixo,366-730 dias,1106031.36,736
MAT-00458,Papel Latão,Escritório,Bloqueado,643,Baixo,366-730 dias,99748.0,2267
MAT-06001,Papel Latão,Escritório,Bloqueado,643,Baixo,366-730 dias,96298.014862476,2267
MAT-02682,Anel Latão,Peças,Ativo,643,Baixo,366-730 dias,18367.8,3993
MAT-00716,Conexão Aço,Pneumático,Ativo,642,Baixo,366-730 dias,5194.2,3148
MAT-06001,Conexão Aço,Pneumático,Ativo,642,Baixo,366-730 dias,4977.8597053919475,3148
MAT-01240,Arruela Latão,Fixação,Ativo,641,Baixo,366-730 dias,17446.239999999998,3368
MAT-01918,Cilindro Alumínio,Pneumático,Ativo,640,Baixo,366-730 dias,1255124.8,1312
MAT-00753,Capacete Alumínio,EPI,Ativo,640,Baixo,366-730 dias,9745.08,1686
MAT-06001,CAPACETE ALUMÍNIO,EPI,Ativo,640,Baixo,366-730 dias,9878.907198832601,1686
MAT-01093,Rebite Cobre,Fixação,Bloqueado,640,Baixo,366-730 dias,10912.44,1181
MAT-02348,Rebite Cobre,Fixação,Ativo,640,Baixo,366-730 dias,11052.0,2763
MAT-01198,Bota Inox,EPI,Ativo,639,Baixo,366-730 dias,2721.62,278
MAT-02939,Capacitor Aço,Eletrônico,Ativo,639,Baixo,366-730 dias,140313.59999999998,3712
MAT-01200,Pasta Latão,Escritório,Ativo,637,Baixo,366-730 dias,1659458.2399999998,1609
MAT-02135,Martelo Inox,Ferramentas,Ativo,636,Baixo,366-730 dias,6274.400000000001,1426
MAT-01152,Resistor Inox,Eletrônico,Ativo,636,Baixo,366-730 dias,18897.3,2333
MAT-01389,Interruptor PVC,Elétrico,Inativo,635,Baixo,366-730 dias,18740.97,4083
MAT-01441,Solvente Aço,Químico,Ativo,634,Baixo,366-730 dias,1445.73,1011
MAT-02701,Registro Cobre,Hidráulico,Ativo,633,Baixo,366-730 dias,37852.68,4178
MAT-02024,Filtro Aço,Pneumático,Ativo,633,Baixo,366-730 dias,115187.74,1283
MAT-00167,Capacitor Latão,Eletrônico,Ativo,632,Baixo,366-730 dias,441554.0,1160
MAT-01255,Bota Latão,EPI,Ativo,632,Baixo,366-730 dias,5774.98,2902
MAT-02982,Rolamento Inox,Mecânico,Ativo,632,Baixo,366-730 dias,11732.090000000002,1429
MAT-06001,SOLVENTE INOX,Químico,Ativo,632,Baixo,366-730 dias,88193.18932418058,2861
MAT-02921,Solvente Inox,Químico,Ativo,632,Baixo,366-730 dias,85973.05,2861
MAT-01800,Papelão Cobre,Embalagem,Ativo,632,Baixo,366-730 dias,29143.800000000003,1028
MAT-01323,Correia Inox,Mecânico,Ativo,631,Baixo,366-730 dias,5080.320000000001,4536
MAT-01383,Luva G Inox,EPI,Ativo,631,Baixo,366-730 dias,2294419.1999999997,3274
MAT-01412,gancho Cobre,Acessórios,Ativo,630,Baixo,366-730 dias,3753.6000000000004,2040
MAT-02538,Arruela Cobre,Fixação,Ativo,630,Baixo,366-730 dias,0.0,3961
MAT-02604,Detergente Inox,Limpeza,Ativo,630,Baixo,366-730 dias,27372.78,4338
MAT-01046,Martelo Cobre,Ferramentas,Ativo,629,Baixo,366-730 dias,65420.600000000006,140
MAT-02085,Máscara Cobre,EPI,Bloqueado,628,Baixo,366-730 dias,17159.74,2129
MAT-02506,Fita PVC,Embalagem,Ativo,628,Baixo,366-730 dias,5168.0,2584
MAT-00948,Serra Plástico,Ferramentas,Ativo,628,Baixo,366-730 dias,22007.52,4216
MAT-00857,Capacete PVC,EPI,Ativo,625,Baixo,366-730 dias,38349.0,4261
MAT-01882,Correia Alumínio,Mecânico,Ativo,625,Baixo,366-730 dias,10344.0,4310
MAT-02825,Retentor Cobre,Peças,Ativo,625,Baixo,366-730 dias,17502.72,4128
MAT-01110,Balde PVC,Limpeza,Ativo,625,Baixo,366-730 dias,5317.32,1214
