codigo_material,descricao,categoria,unidade_medida,status,desc_inicio_minusculo,categoria_inconsistente,uom_nao_maiusculo,total_problemas
MAT-03299,Item 3299 teste,mecânico,l,ativo,NAO,NAO,SIM,1
MAT-00001,Item 1 teste,hidraulico,pc,ATIVO,NAO,NAO,SIM,1
MAT-00002,Item 2 teste,Elétrico,und,INATIVO,NAO,NAO,SIM,1
MAT-03263,Item 3263 teste,hidraulico,cx,ATIVO,NAO,NAO,SIM,1
MAT-03264,Item 3264 teste,hidraulico,cx,INATIVO,NAO,NAO,SIM,1
MAT-03266,Item 3266 teste,Escritório,Kg,Inativo,NAO,NAO,SIM,1
MAT-03267,Item 3267 teste,Elétrico,kg,Ativo,NAO,NAO,SIM,1
MAT-03252,Item 3252 teste,Mecânico,lt,INATIVO,NAO,NAO,SIM,1
MAT-03254,Item 3254 teste,ELETRICO,l,INATIVO,NAO,NAO,SIM,1
MAT-03255,Item 3255 teste,ELETRICO,Und,ativo,NAO,NAO,SIM,1
MAT-03256,Item 3256 teste,MECANICO,Kg,ativo,NAO,NAO,SIM,1
MAT-03258,Item 3258 teste,MECANICO,Kg,Inativo,NAO,NAO,SIM,1
MAT-03259,Item 3259 teste,EMBALAGEM,l,ATIVO,NAO,NAO,SIM,1
MAT-03245,Item 3245 teste,Embalagem,kg,ATIVO,NAO,NAO,SIM,1
MAT-03247,Item 3247 teste,Hidráulico,kg,ATIVO,NAO,NAO,SIM,1
MAT-03248,Item 3248 teste,hidraulico,cx,INATIVO,NAO,NAO,SIM,1
MAT-03249,Item 3249 teste,ELETRICO,lt,INATIVO,NAO,NAO,SIM,1
MAT-03250,Item 3250 teste,hidraulico,Lt,ativo,NAO,NAO,SIM,1
MAT-03251,Item 3251 teste,Mecânico,Und,ATIVO,NAO,NAO,SIM,1
MAT-03237,Item 3237 teste,mecânico,Lt,ATIVO,NAO,NAO,SIM,1
MAT-03238,Item 3238 teste,Escritório,kg,Ativo,NAO,NAO,SIM,1
MAT-03240,Item 3240 teste,mecânico,Un,Inativo,NAO,NAO,SIM,1
MAT-03242,Item 3242 teste,MECANICO,l,ATIVO,NAO,NAO,SIM,1
MAT-03243,Item 3243 teste,Embalagem,l,ativo,NAO,NAO,SIM,1
MAT-00060,Item 60 teste,Escritório,Kg,ATIVO,NAO,NAO,SIM,1
MAT-00061,Item 61 teste,Elétrico,l,ativo,NAO,NAO,SIM,1
MAT-00062,Item 62 teste,Hidráulico,Und,INATIVO,NAO,NAO,SIM,1
MAT-00063,Item 63 teste,mecânico,Kg,Ativo,NAO,NAO,SIM,1
MAT-00065,Item 65 teste,mecânico,un,Ativo,NAO,NAO,SIM,1
MAT-00066,Item 66 teste,Escritório,Lt,Ativo,NAO,NAO,SIM,1
MAT-00067,Item 67 teste,Elétrico,pc,Ativo,NAO,NAO,SIM,1
MAT-00052,Item 52 teste,Mecânico,Lt,ativo,NAO,NAO,SIM,1
MAT-00053,Item 53 teste,Elétrico,l,ativo,NAO,NAO,SIM,1
MAT-00055,Item 55 teste,Embalagem,Un,ATIVO,NAO,NAO,SIM,1
MAT-00056,Item 56 teste,Elétrico,kg,INATIVO,NAO,NAO,SIM,1
MAT-00057,Item 57 teste,mecânico,pc,INATIVO,NAO,NAO,SIM,1
MAT-00059,Item 59 teste,Hidráulico,pc,INATIVO,NAO,NAO,SIM,1
MAT-00046,Item 46 teste,ELETRICO,Und,ATIVO,NAO,NAO,SIM,1
MAT-00047,Item 47 teste,mecânico,Lt,Inativo,NAO,NAO,SIM,1
MAT-00049,Item 49 teste,hidraulico,pc,ativo,NAO,NAO,SIM,1
MAT-00050,Item 50 teste,Embalagem,Un,ativo,NAO,NAO,SIM,1
MAT-00051,Item 51 teste,MECANICO,lt,Inativo,NAO,NAO,SIM,1
MAT-00037,Item 37 teste,EMBALAGEM,lt,Inativo,NAO,NAO,SIM,1
MAT-00038,Item 38 teste,hidraulico,pc,ATIVO,NAO,NAO,SIM,1
MAT-00039,Item 39 teste,mecânico,cx,INATIVO,NAO,NAO,SIM,1
MAT-00042,Item 42 teste,mecânico,kg,Inativo,NAO,NAO,SIM,1
MAT-00043,Item 43 teste,Escritório,Und,ATIVO,NAO,NAO,SIM,1
MAT-00094,Item 94 teste,Escritório,kg,INATIVO,NAO,NAO,SIM,1
MAT-00095,Item 95 teste,hidraulico,lt,INATIVO,NAO,NAO,SIM,1
MAT-00098,Item 98 teste,hidraulico,Kg,ativo,NAO,NAO,SIM,1
MAT-00099,Item 99 teste,EMBALAGEM,Und,ativo,NAO,NAO,SIM,1
MAT-00084,Item 84 teste,Mecânico,kg,ativo,NAO,NAO,SIM,1
MAT-00085,Item 85 teste,Embalagem,kg,ATIVO,NAO,NAO,SIM,1
MAT-00086,Item 86 teste,Embalagem,Pc,Ativo,NAO,NAO,SIM,1
MAT-00090,Item 90 teste,MECANICO,Un,Ativo,NAO,NAO,SIM,1
MAT-00091,Item 91 teste,MECANICO,Kg,ativo,NAO,NAO,SIM,1
MAT-00076,Item 76 teste,Escritório,un,ativo,NAO,NAO,SIM,1
MAT-00077,Item 77 teste,EMBALAGEM,pc,Ativo,NAO,NAO,SIM,1
MAT-00078,Item 78 teste,EMBALAGEM,Pc,Inativo,NAO,NAO,SIM,1
MAT-00081,Item 81 teste,hidraulico,l,ativo,NAO,NAO,SIM,1
MAT-00082,Item 82 teste,EMBALAGEM,Un,ATIVO,NAO,NAO,SIM,1
MAT-00083,Item 83 teste,Embalagem,und,Ativo,NAO,NAO,SIM,1
MAT-00068,Item 68 teste,Embalagem,pc,ativo,NAO,NAO,SIM,1
MAT-00069,Item 69 teste,hidraulico,und,Inativo,NAO,NAO,SIM,1
MAT-00073,Item 73 teste,mecânico,Kg,ATIVO,NAO,NAO,SIM,1
MAT-00074,Item 74 teste,ELETRICO,Kg,Inativo,NAO,NAO,SIM,1
MAT-00075,Item 75 teste,Embalagem,Kg,Ativo,NAO,NAO,SIM,1
MAT-03230,Item 3230 teste,Embalagem,un,ATIVO,NAO,NAO,SIM,1
MAT-03232,Item 3232 teste,hidraulico,Lt,INATIVO,NAO,NAO,SIM,1
MAT-03233,Item 3233 teste,mecânico,lt,ATIVO,NAO,NAO,SIM,1
MAT-03234,Item 3234 teste,Escritório,Kg,ativo,NAO,NAO,SIM,1
MAT-03235,Item 3235 teste,Hidráulico,lt,Ativo,NAO,NAO,SIM,1
MAT-03221,Item 3221 teste,Elétrico,un,Inativo,NAO,NAO,SIM,1
MAT-03223,Item 3223 teste,MECANICO,Pc,ATIVO,NAO,NAO,SIM,1
MAT-03224,Item 3224 teste,Embalagem,lt,Ativo,NAO,NAO,SIM,1
