codigo_material,descricao,categoria,caminho,n_erros,n_alertas,erros,alertas
MAT-00001,Papel Cobre,Escritório,REJEITADO,1,0,NCM vazio,
MAT-00002,Registro PVC,Hidráulico,CAMINHO_2,0,1,,Parado 455 dias
MAT-00003,Catalisador Aço,Químico,CAMINHO_1,0,0,,
MAT-00004,Plástico Inox,Embalagem,CAMINHO_2,0,1,,Parado 603 dias
MAT-00005,Anel em Latão,Peças,CAMINHO_1,0,0,,
MAT-00006,Reagente Alumínio,Químico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00007,Máscara Latão,EPI,CAMINHO_1,0,0,,
MAT-00008,Retentor Alumínio,Peças,CAMINHO_2,0,1,,Parado 659 dias
MAT-00009,Chave Latão,Ferramentas,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00010,Presilha Aço,Acessórios,CAMINHO_2,0,1,,Parado 534 dias
MAT-00011,Conexão Inox,Pneumático,CAMINHO_2,0,1,,Parado 564 dias
MAT-00012,Rolamento Inox,Mecânico,CAMINHO_1,0,0,,
MAT-00013,Eixo Inox,Mecânico,CAMINHO_1,0,0,,
MAT-00014,Solvente Aço,Químico,REJEITADO,1,2,NCM vazio,Sem fornecedor; Sem estoque minimo
MAT-00015,Vassoura Cobre,Limpeza,CAMINHO_2,0,1,,Sem fornecedor
MAT-00016,Martelo Alumínio,Ferramentas,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00017,Gancho Aço,Acessórios,CAMINHO_1,0,0,,
MAT-00018,Porca M10 Cobre,Fixação,CAMINHO_1,0,0,,
MAT-00019,Cilindro PVC,Pneumático,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00020,Cilindro Plástico,Pneumático,CAMINHO_1,0,0,,
MAT-00021,Módulo Plástico,Eletrônico,CAMINHO_2,0,1,,Parado 661 dias
MAT-00022,abraçadeira PVC,Acessórios,CAMINHO_2,0,1,,Parado 595 dias
MAT-00023,led Alumínio,Eletrônico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00024,Fita Alumínio,Embalagem,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 384 dias
MAT-00025,Bucha Inox,Mecânico,CAMINHO_2,0,1,,Parado 587 dias
MAT-00026,Clips Alumínio,Escritório,CAMINHO_2,0,1,,Sem fornecedor
MAT-00027,Pasta em Plástico,Escritório,CAMINHO_1,0,0,,
MAT-00028,Correia Latão,Mecânico,CAMINHO_1,0,0,,
MAT-00029,Conexão Aço,Pneumático,CAMINHO_2,0,1,,Parado 451 dias
MAT-00030,Correia Plástico,Mecânico,CAMINHO_1,0,0,,
MAT-00031,Registro Inox,Hidráulico,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00032,Rolamento Alumínio,Mecânico,CAMINHO_3,0,2,,Sem fornecedor; Preco alto: R$1567.71 (revisar)
MAT-00033,Rebite Aço,Fixação,CAMINHO_3,0,3,,Sem fornecedor; Sem estoque minimo; Parado 380 dias
MAT-00034,Rolamento PVC,Peças,CAMINHO_1,0,0,,
MAT-00035,máscara Inox,EPI,CAMINHO_2,0,1,,Sem fornecedor
MAT-00036,Etiqueta PVC,Embalagem,CAMINHO_2,0,1,,Parado 434 dias
MAT-00037,Base Cobre,Químico,CAMINHO_2,0,1,,Parado 500 dias
MAT-00038,Serra PVC,Ferramentas,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00039,Spray Aço,Lubrificante,CAMINHO_3,0,2,,Sem fornecedor; Parado 399 dias
MAT-00040,Desinfetante Cobre,Limpeza,REJEITADO,1,0,NCM vazio,
MAT-00041,Pasta Latão,Escritório,CAMINHO_1,0,0,,
MAT-00042,Plástico Cobre,Embalagem,CAMINHO_3,0,2,,Sem estoque minimo; Parado 442 dias
MAT-00043,Spray Alumínio,Lubrificante,CAMINHO_2,0,1,,Parado 693 dias
MAT-00044,Eixo PVC,Mecânico,CAMINHO_3,0,2,,Sem fornecedor; Parado 523 dias
MAT-00045,Vassoura em Latão,Limpeza,CAMINHO_2,0,1,,Parado 470 dias
MAT-00046,Junta Aço,Peças,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00047,Vedação Latão,Peças,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00048,Fita Cobre,Embalagem,CAMINHO_1,0,0,,
MAT-00049,Rolamento Alumínio,Peças,CAMINHO_1,0,0,,
MAT-00050,Clips Aço,Escritório,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00051,Spray PVC,Lubrificante,CAMINHO_2,0,1,,Sem fornecedor
MAT-00052,Cilindro Latão,Pneumático,REJEITADO,1,1,NCM vazio,Parado 398 dias
MAT-00053,Furadeira Alumínio,Ferramentas,REJEITADO,1,0,NCM vazio,
MAT-00054,Caneta Cobre,Escritório,CAMINHO_2,0,1,,Parado 550 dias
MAT-00055,Vedação Latão,Peças,CAMINHO_1,0,0,,
MAT-00056,Plástico Alumínio,Embalagem,CAMINHO_1,0,0,,
MAT-00057,Arruela Plástico,Fixação,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00058,Plástico Aço,Embalagem,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00059,Graxa Inox,Lubrificante,CAMINHO_2,0,1,,Preco alto: R$1553.80 (revisar)
MAT-00060,Óleo Cobre,Lubrificante,CAMINHO_2,0,1,,Preco alto: R$1600.97 (revisar)
MAT-00061,Fluido Alumínio,Lubrificante,CAMINHO_2,0,1,,Sem fornecedor
MAT-00062,Gancho Alumínio,Acessórios,CAMINHO_1,0,0,,
MAT-00063,Papelão PVC,Embalagem,CAMINHO_1,0,0,,
MAT-00064,Ácido em Alumínio,Químico,CAMINHO_1,0,0,,
MAT-00065,Vedação Latão,Peças,CAMINHO_1,0,0,,
MAT-00066,capacitor Latão,Eletrônico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00067,Abraçadeira Inox,Acessórios,CAMINHO_2,0,1,,Sem fornecedor
MAT-00068,Rebite Alumínio,Fixação,CAMINHO_1,0,0,,
MAT-00069,Chave Plástico,Ferramentas,CAMINHO_1,0,0,,
MAT-00070,Balde Aço,Limpeza,REJEITADO,1,0,NCM vazio,
MAT-00071,Disjuntor Inox,Elétrico,CAMINHO_2,0,1,,Preco alto: R$1568.41 (revisar)
MAT-00072,Pasta Alumínio,Escritório,CAMINHO_2,0,1,,Sem fornecedor
MAT-00073,Sensor Alumínio,Eletrônico,REJEITADO,1,1,NCM vazio,Parado 624 dias
MAT-00074,LED Plástico,Eletrônico,REJEITADO,1,0,NCM vazio,
MAT-00075,Gancho Cobre,Acessórios,REJEITADO,1,0,NCM vazio,
MAT-00076,Tomada Latão,Elétrico,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00077,Disjuntor Latão,Elétrico,CAMINHO_1,0,0,,
MAT-00078,Grampeador Plástico,Escritório,CAMINHO_2,0,1,,Parado 478 dias
MAT-00079,Válvula PVC,Pneumático,CAMINHO_1,0,0,,
MAT-00080,Válvula Aço,Hidráulico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00081,Retentor Cobre,Peças,CAMINHO_1,0,0,,
MAT-00082,Clips Inox,Escritório,CAMINHO_3,0,2,,Sem fornecedor; Parado 532 dias
MAT-00083,Rolamento Cobre,Mecânico,REJEITADO,1,1,NCM vazio,Parado 486 dias
MAT-00084,ácido Latão,Químico,CAMINHO_1,0,0,,
MAT-00085,Vedação em PVC,Peças,REJEITADO,1,0,NCM vazio,
MAT-00086,Resistor PVC,Eletrônico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00087,Prego Cobre,Fixação,REJEITADO,1,0,NCM vazio,
MAT-00088,Bota PVC,EPI,REJEITADO,1,3,Preco zerado,Sem fornecedor; Sem estoque minimo; Parado 380 dias
MAT-00089,Chave Plástico,Ferramentas,CAMINHO_1,0,0,,
MAT-00090,Martelo Inox,Ferramentas,CAMINHO_1,0,0,,
MAT-00091,Cabo 10mm² Plástico,Elétrico,CAMINHO_2,0,1,,Preco alto: R$1675.20 (revisar)
MAT-00092,Abraçadeira PVC,Acessórios,CAMINHO_2,0,1,,Parado 656 dias
MAT-00093,Rolamento Latão,Peças,REJEITADO,1,1,Preco zerado,Sem fornecedor
MAT-00094,Pasta PVC,Lubrificante,CAMINHO_2,0,1,,Parado 583 dias
MAT-00095,Sensor Aço,Eletrônico,REJEITADO,1,1,NCM vazio,Sem estoque minimo
MAT-00096,Caixa Plástico,Embalagem,CAMINHO_1,0,0,,
MAT-00097,Reagente PVC,Químico,CAMINHO_1,0,0,,
MAT-00098,Graxa Alumínio,Lubrificante,REJEITADO,1,0,NCM vazio,
MAT-00099,Balde Latão,Limpeza,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00100,Catalisador Plástico,Químico,CAMINHO_1,0,0,,
MAT-00101,Anel Alumínio,Peças,CAMINHO_1,0,0,,
MAT-00102,Capacete PVC,EPI,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00103,Parafuso M12 PVC,Fixação,CAMINHO_1,0,0,,
MAT-00104,Alicate Cobre,Ferramentas,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00105,Presilha Latão,Acessórios,CAMINHO_1,0,0,,
MAT-00106,Clipe Plástico,Acessórios,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00107,Chave Inox,Ferramentas,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00108,Grampeador PVC,Escritório,CAMINHO_3,0,2,,Sem fornecedor; Sem estoque minimo
MAT-00109,Bucha Plástico,Mecânico,CAMINHO_2,0,1,,Parado 430 dias
MAT-00110,Desinfetante Inox,Limpeza,CAMINHO_2,0,1,,Parado 554 dias
MAT-00111,Papel Plástico,Escritório,CAMINHO_1,0,0,,
MAT-00112,Sensor Latão,Eletrônico,CAMINHO_1,0,0,,
MAT-00113,Grampeador Alumínio,Escritório,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 562 dias
MAT-00114,Detergente Inox,Limpeza,CAMINHO_2,0,1,,Parado 428 dias
MAT-00115,Clipe Inox,Acessórios,CAMINHO_2,0,1,,Preco alto: R$1902.19 (revisar)
MAT-00116,Bucha Plástico,Mecânico,CAMINHO_1,0,0,,
MAT-00117,Rolamento Alumínio,Peças,REJEITADO,1,1,NCM vazio,Sem fornecedor
MAT-00118,Suporte Cobre,Acessórios,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00119,Papelão Latão,Embalagem,REJEITADO,1,0,NCM vazio,
MAT-00120,Plástico PVC,Embalagem,REJEITADO,1,1,NCM vazio,Parado 527 dias
MAT-00121,Rolamento Latão,Peças,CAMINHO_1,0,0,,
MAT-00122,Prego Cobre,Fixação,CAMINHO_3,0,3,,Sem fornecedor; Sem estoque minimo; Preco alto: R$1645.00 (revisar)
MAT-00123,Óleo PVC,Lubrificante,CAMINHO_3,0,2,,Sem fornecedor; Parado 411 dias
MAT-00124,Solvente Plástico,Químico,CAMINHO_1,0,0,,
MAT-00125,cabo 16mm² Inox,Elétrico,CAMINHO_1,0,0,,
MAT-00126,Rebite Inox,Fixação,CAMINHO_2,0,1,,Sem estoque minimo
MAT-00127,Alicate Latão,Ferramentas,CAMINHO_2,0,1,,Parado 605 dias
MAT-00128,Interruptor Alumínio,Elétrico,REJEITADO,1,0,NCM vazio,
MAT-00129,Caneta Inox,Escritório,CAMINHO_1,0,0,,
MAT-00130,Cabo 6mm² Plástico,Elétrico,CAMINHO_2,0,1,,Sem fornecedor
MAT-00131,Pano Plástico,Limpeza,CAMINHO_1,0,0,,
MAT-00132,Tomada Inox,Elétrico,CAMINHO_3,0,2,,Sem fornecedor; Parado 462 dias
MAT-00133,Alicate Inox,Ferramentas,CAMINHO_1,0,0,,
MAT-00134,Papelão Plástico,Embalagem,CAMINHO_2,0,1,,Preco alto: R$1995.64 (revisar)
MAT-00135,Resistor Plástico,Eletrônico,REJEITADO,1,2,NCM vazio,Sem fornecedor; Parado 492 dias
MAT-00136,Papelão Cobre,Embalagem,CAMINHO_1,0,0,,
MAT-00137,Sensor Aço,Eletrônico,REJEITADO,1,0,NCM vazio,
