codigo_material,descricao,categoria,unidade_medida,preco_unitario,estoque_atual,estoque_minimo,fornecedor_principal,data_cadastro,ultima_movimentacao,status,centro_custo,ncm,localizacao_fisica,responsavel_cadastro
MAT-00001,Papel Cobre,Escritório,M,294.74,4467,54,Suprimentos PQR,2025-11-01,2025-11-01,Ativo,ADM-001,,E-07-05,Ricardo Alves
MAT-00002,Registro PVC,Hidráulico,UN,1.68,3462,184,Importadora JKL,2024-11-21,2024-11-30,Ativo,MAN-002,84841467,C-20-03,João Silva
MAT-00003,Catalisador Aço,Químico,PCT,657.04,2962,305,Industrial GHI,2024-11-10,2025-10-09,Ativo,MAN-001,84841975,B-04-04,Pedro Souza
MAT-00004,Plástico Inox,Embalagem,M,7.05,584,321,Comercial DEF,2024-05-14,2024-07-05,Bloqueado,,40169755,F-18-02,Paula Lima
MAT-00005,Anel em Latão,Peças,PCT,28.99,4646,458,Nacional MNO,2025-12-28,2026-05-16,Bloqueado,,40169242,B-18-05,Pedro Souza
MAT-00006,Reagente Alumínio,Químico,M,1.47,4042,56,,2024-07-05,2025-05-03,Ativo,PRO-001,39174710,A-13-04,Fernanda Rocha
MAT-00007,Máscara Latão,EPI,KG,5.42,2185,403,Nacional MNO,2025-06-11,2025-07-06,Bloqueado,,40169612,B-17-01,Pedro Souza
MAT-00008,Retentor Alumínio,Peças,CX,5.44,4344,480,Metalúrgica ABC,2024-05-10,2024-05-10,Ativo,MAN-001,40169345,A-08-05,Maria Santos
MAT-00009,Chave Latão,Ferramentas,L,1003.04,4503,,Importadora JKL,2024-10-14,2025-03-02,Ativo,ADM-001,39269830,C-13-03,Fernanda Rocha
MAT-00010,Presilha Aço,Acessórios,KG,62.95,1885,311,Industrial GHI,2024-09-12,2024-09-12,Ativo,LOG-002,84841132,C-03-05,Ana Costa
MAT-00011,Conexão Inox,Pneumático,RL,52.57,3334,107,Distribuidora XYZ,2024-04-09,2024-08-13,Inativo,MAN-002,85369984,F-02-01,João Silva
MAT-00012,Rolamento Inox,Mecânico,GL,47.97,2281,246,Industrial GHI,2025-03-13,2025-10-16,Ativo,LOG-001,73089956,A-03-02,Carlos Oliveira
MAT-00013,Eixo Inox,Mecânico,UN,104.1,3198,145,Materiais STU,2024-10-14,2025-04-27,Bloqueado,LOG-002,39269403,B-02-05,João Silva
MAT-00014,Solvente Aço,Químico,GL,5.36,465,,,2025-04-08,2026-01-29,Ativo,PRO-001,00000000,A-19-02,João Silva
MAT-00015,Vassoura Cobre,Limpeza,GL,33.47,2573,132,,2025-12-02,2026-08-04,Ativo,,73269869,A-01-04,Maria Santos
MAT-00016,Martelo Alumínio,Ferramentas,CX,8.8,3027,,Comercial DEF,2024-08-22,2025-06-09,Ativo,ADM-001,,F-18-03,Maria Santos
MAT-00017,Gancho Aço,Acessórios,GL,635.34,1725,377,Nacional MNO,2025-10-09,2025-12-02,Bloqueado,MAN-001,73181194,F-14-03,João Silva
MAT-00018,Porca M10 Cobre,Fixação,RL,4.33,79,67,Distribuidora XYZ,2025-03-19,2025-03-19,Ativo,MAN-001,84831665,B-14-02,João Silva
MAT-00019,Cilindro PVC,Pneumático,M,3.6,4586,,Suprimentos PQR,2025-02-15,2025-05-28,Ativo,LOG-002,39174125,B-11-04,Ana Costa
MAT-00020,Cilindro Plástico,Pneumático,RL,83.49,3770,189,Importadora JKL,2025-09-13,2025-12-07,Ativo,PRO-001,39269508,C-09-01,Pedro Souza
MAT-00021,Módulo Plástico,Eletrônico,GL,12.48,2139,101,Importadora JKL,2024-05-08,2024-05-08,Ativo,PRO-001,73269546,E-17-01,Ricardo Alves
MAT-00022,abraçadeira PVC,Acessórios,UN,8.08,1614,196,Suprimentos PQR,2024-07-13,2024-07-13,Ativo,,84841837,C-17-03,Ricardo Alves
MAT-00023,led Alumínio,Eletrônico,PCT,9.04,4662,,Suprimentos PQR,2025-01-07,2025-06-11,Ativo,LOG-002,,E-20-03,Fernanda Rocha
MAT-00024,Fita Alumínio,Embalagem,L,2.91,2745,57,,2024-11-28,2025-02-09,Ativo,LOG-001,,D-20-01,Fernanda Rocha
MAT-00025,Bucha Inox,Mecânico,PCT,31.96,45,467,Distribuidora XYZ,2024-05-20,2024-07-21,Bloqueado,LOG-001,73089355,,Fernanda Rocha
MAT-00026,Clips Alumínio,Escritório,RL,7.22,4135,228,,2024-08-29,2025-04-09,Bloqueado,MAN-001,39269960,F-09-05,Fernanda Rocha
MAT-00027,Pasta em Plástico,Escritório,M,38.77,4424,51,Comercial DEF,2025-06-24,2026-04-26,Ativo,PRO-001,39269165,D-14-03,Fernanda Rocha
MAT-00028,Correia Latão,Mecânico,UN,7.68,3116,254,Metalúrgica ABC,2025-12-22,2026-06-01,Inativo,ADM-001,73089919,E-08-04,Ana Costa
MAT-00029,Conexão Aço,Pneumático,PCT,8.42,1045,328,Fornecedor VWX,2024-12-04,2024-12-04,Ativo,LOG-001,39174238,,Pedro Souza
MAT-00030,Correia Plástico,Mecânico,PCT,95.61,3453,139,Distribuidora XYZ,2025-03-25,2025-03-25,Ativo,LOG-002,84841899,,Ana Costa
MAT-00031,Registro Inox,Hidráulico,RL,5.68,1785,248,,2026-02-03,2026-11-19,Ativo,LOG-002,,E-01-03,Ricardo Alves
MAT-00032,Rolamento Alumínio,Mecânico,M,1567.71,4918,422,,2025-08-04,2025-08-04,Ativo,,39174777,C-03-05,Paula Lima
MAT-00033,Rebite Aço,Fixação,CX,8.3,1253,,,2024-12-20,2025-02-13,Bloqueado,MAN-002,39174945,,Paula Lima
MAT-00034,Rolamento PVC,Peças,M,5.74,3104,182,Metalúrgica ABC,2025-06-17,2025-08-08,Bloqueado,LOG-002,73269916,C-11-03,Pedro Souza
MAT-00035,máscara Inox,EPI,RL,2.48,3900,340,,2026-02-13,2026-03-30,Ativo,LOG-002,39174808,B-10-05,Paula Lima
MAT-00036,Etiqueta PVC,Embalagem,GL,73.26,2219,166,Importadora JKL,2024-08-06,2024-12-21,Ativo,,73089880,,Ana Costa
MAT-00037,Base Cobre,Químico,GL,9.81,1590,161,Industrial GHI,2024-10-16,2024-10-16,Ativo,MAN-001,73181155,E-10-02,Fernanda Rocha
MAT-00038,Serra PVC,Ferramentas,RL,96.89,2068,,Materiais STU,2026-02-11,2026-08-27,Bloqueado,,84831744,F-02-02,Carlos Oliveira
MAT-00039,Spray Aço,Lubrificante,KG,4.22,4883,414,,2024-07-27,2025-01-25,Bloqueado,MAN-001,84831539,C-19-05,João Silva
MAT-00040,Desinfetante Cobre,Limpeza,KG,430.25,614,90,Metalúrgica ABC,2025-11-14,2026-06-18,Bloqueado,MAN-001,,C-10-04,Maria Santos
MAT-00041,Pasta Latão,Escritório,M,59.01,1220,475,Importadora JKL,2025-06-29,2025-07-20,Ativo,MAN-001,84831866,E-10-04,Maria Santos
MAT-00042,Plástico Cobre,Embalagem,M²,4.99,658,,Metalúrgica ABC,2024-03-20,2024-12-13,Ativo,,84841334,F-19-05,João Silva
MAT-00043,Spray Alumínio,Lubrificante,RL,4.48,2278,102,Suprimentos PQR,2024-04-06,2024-04-06,Bloqueado,,39174441,C-04-02,Paula Lima
MAT-00044,Eixo PVC,Mecânico,PCT,5.55,3725,55,,2024-03-15,2024-09-23,Ativo,,73089573,,Paula Lima
MAT-00045,Vassoura em Latão,Limpeza,GL,647.26,3970,72,Metalúrgica ABC,2024-10-01,2024-11-15,Ativo,MAN-001,73089114,E-14-01,Ana Costa
MAT-00046,Junta Aço,Peças,L,74.49,4168,,Importadora JKL,2025-10-30,2026-04-28,Ativo,MAN-002,,D-07-05,Carlos Oliveira
MAT-00047,Vedação Latão,Peças,PCT,80.89,2188,,Metalúrgica ABC,2025-12-14,2026-09-02,Bloqueado,LOG-002,,D-12-03,Ricardo Alves
MAT-00048,Fita Cobre,Embalagem,PCT,79.8,357,172,Materiais STU,2025-03-31,2025-08-27,Ativo,MAN-002,73181229,,Maria Santos
MAT-00049,Rolamento Alumínio,Peças,UN,4.16,1264,48,Materiais STU,2024-11-30,2025-04-19,Inativo,PRO-001,84841972,C-18-04,Paula Lima
MAT-00050,Clips Aço,Escritório,M,9.22,1863,,Distribuidora XYZ,2024-10-12,2025-08-20,Ativo,MAN-002,85443810,C-01-01,Paula Lima
MAT-00051,Spray PVC,Lubrificante,L,47.08,1475,97,,2025-12-28,2025-12-28,Ativo,MAN-002,84831246,B-15-03,Fernanda Rocha
MAT-00052,Cilindro Latão,Pneumático,M²,1.66,3618,493,Nacional MNO,2024-04-12,2025-01-26,Inativo,PRO-001,00000000,C-07-04,Fernanda Rocha
MAT-00053,Furadeira Alumínio,Ferramentas,M²,3.02,3242,150,Metalúrgica ABC,2025-06-26,2025-06-26,Bloqueado,MAN-001,,C-08-02,Pedro Souza
MAT-00054,Caneta Cobre,Escritório,M²,0.43,2988,384,Comercial DEF,2024-04-19,2024-08-27,Inativo,LOG-002,39269235,E-12-05,Pedro Souza
MAT-00055,Vedação Latão,Peças,M²,3.45,943,249,Distribuidora XYZ,2025-09-08,2026-07-23,Inativo,ADM-001,73269192,D-01-03,Maria Santos
MAT-00056,Plástico Alumínio,Embalagem,CX,544.26,205,327,Fornecedor VWX,2025-02-11,2025-03-18,Ativo,PRO-001,85369817,C-14-01,Carlos Oliveira
MAT-00057,Arruela Plástico,Fixação,GL,961.92,4425,,Comercial DEF,2026-01-16,2026-01-16,Bloqueado,ADM-001,39174386,,Fernanda Rocha
MAT-00058,Plástico Aço,Embalagem,CX,9.78,2938,,Suprimentos PQR,2025-06-27,2026-01-30,Ativo,PRO-001,39269757,F-20-01,João Silva
MAT-00059,Graxa Inox,Lubrificante,M,1553.8,1697,310,Industrial GHI,2025-03-19,2025-08-05,Ativo,ADM-001,73181383,,Pedro Souza
MAT-00060,Óleo Cobre,Lubrificante,L,1600.97,1949,311,Nacional MNO,2025-08-29,2025-08-29,Ativo,PRO-001,39174638,,Fernanda Rocha
MAT-00061,Fluido Alumínio,Lubrificante,UN,9.1,4271,164,,2025-02-18,2025-03-18,Bloqueado,,39174802,A-16-04,Maria Santos
MAT-00062,Gancho Alumínio,Acessórios,M²,5.9,2663,205,Fornecedor VWX,2025-12-03,2026-08-05,Inativo,LOG-001,84841973,,Ricardo Alves
MAT-00063,Papelão PVC,Embalagem,PCT,18.56,3496,170,Importadora JKL,2025-07-05,2026-06-02,Bloqueado,LOG-001,84841951,A-03-04,Maria Santos
MAT-00064,Ácido em Alumínio,Químico,KG,88.62,3464,454,Metalúrgica ABC,2025-02-07,2025-05-01,Ativo,,84831619,B-05-04,Ana Costa
MAT-00065,Vedação Latão,Peças,KG,5.78,3515,442,Fornecedor VWX,2025-11-05,2026-06-28,Ativo,,40169129,B-09-03,Paula Lima
MAT-00066,capacitor Latão,Eletrônico,KG,1303.03,251,,Fornecedor VWX,2026-02-17,2026-08-15,Ativo,LOG-002,,F-11-05,Maria Santos
MAT-00067,Abraçadeira Inox,Acessórios,UN,2.79,3473,258,,2026-01-01,2026-08-24,Ativo,MAN-001,39174213,C-19-04,Pedro Souza
MAT-00068,Rebite Alumínio,Fixação,M²,7.7,2093,158,Nacional MNO,2025-07-13,2025-12-17,Ativo,,39174645,F-08-05,Paula Lima
MAT-00069,Chave Plástico,Ferramentas,CX,5.78,3421,158,Distribuidora XYZ,2025-01-13,2025-02-28,Bloqueado,PRO-001,73269190,D-04-02,Ricardo Alves
MAT-00070,Balde Aço,Limpeza,M²,2.29,1377,49,Fornecedor VWX,2025-01-09,2025-07-22,Ativo,MAN-001,00000000,F-05-02,Maria Santos
MAT-00071,Disjuntor Inox,Elétrico,KG,1568.41,4047,247,Materiais STU,2025-06-06,2026-02-18,Ativo,PRO-001,73269254,D-03-04,Fernanda Rocha
MAT-00072,Pasta Alumínio,Escritório,M²,13.38,3020,435,,2025-04-19,2025-04-19,Inativo,,84831667,F-02-04,Ana Costa
MAT-00073,Sensor Alumínio,Eletrônico,UN,82.99,2813,375,Distribuidora XYZ,2024-06-14,2024-06-14,Ativo,PRO-001,,E-17-05,Carlos Oliveira
MAT-00074,LED Plástico,Eletrônico,CX,0.62,2741,43,Nacional MNO,2025-02-07,2025-05-29,Ativo,MAN-001,,B-11-01,Carlos Oliveira
MAT-00075,Gancho Cobre,Acessórios,PCT,1446.78,694,168,Fornecedor VWX,2025-03-02,2025-03-25,Ativo,,,C-01-03,Pedro Souza
MAT-00076,Tomada Latão,Elétrico,M,1.63,2423,,Distribuidora XYZ,2025-07-19,2026-02-04,Ativo,,73269997,,Ricardo Alves
MAT-00077,Disjuntor Latão,Elétrico,L,0.53,2984,356,Industrial GHI,2025-09-10,2025-11-16,Bloqueado,LOG-002,73089344,C-16-02,Paula Lima
MAT-00078,Grampeador Plástico,Escritório,PCT,4.24,1327,428,Industrial GHI,2024-07-19,2024-11-07,Ativo,PRO-001,85369995,C-18-01,Maria Santos
MAT-00079,Válvula PVC,Pneumático,GL,931.2,1818,428,Materiais STU,2025-11-30,2026-06-27,Ativo,,73089482,,Paula Lima
MAT-00080,Válvula Aço,Hidráulico,CX,1.46,2350,479,,2026-01-26,2027-01-05,Bloqueado,MAN-002,84831105,A-01-03,Ana Costa
MAT-00081,Retentor Cobre,Peças,PCT,647.39,2467,72,Metalúrgica ABC,2025-09-23,2026-05-18,Bloqueado,LOG-001,84841956,D-20-05,João Silva
MAT-00082,Clips Inox,Escritório,M²,65.33,1970,302,,2024-09-14,2024-09-14,Ativo,,73089657,,João Silva
MAT-00083,Rolamento Cobre,Mecânico,CX,11.46,553,186,Industrial GHI,2024-10-30,2024-10-30,Ativo,,,E-11-02,Fernanda Rocha
MAT-00084,ácido Latão,Químico,UN,13.94,1634,463,Metalúrgica ABC,2024-10-21,2025-06-02,Inativo,,85369359,A-07-03,Paula Lima
MAT-00085,Vedação em PVC,Peças,PCT,7.46,3167,183,Comercial DEF,2026-01-06,2026-05-11,Ativo,LOG-001,,D-20-02,Pedro Souza
MAT-00086,Resistor PVC,Eletrônico,M²,74.59,1365,363,,2025-11-10,2026-05-04,Inativo,MAN-001,73181176,F-13-03,Carlos Oliveira
MAT-00087,Prego Cobre,Fixação,UN,548.39,3000,195,Suprimentos PQR,2025-09-30,2026-08-01,Ativo,PRO-001,,C-15-01,Carlos Oliveira
MAT-00088,Bota PVC,EPI,M,0.0,1524,,,2025-02-13,2025-02-13,Ativo,MAN-001,85369319,,Ana Costa
MAT-00089,Chave Plástico,Ferramentas,RL,8.12,2618,351,Nacional MNO,2025-10-08,2026-05-03,Ativo,MAN-001,85443828,,Ana Costa
MAT-00090,Martelo Inox,Ferramentas,UN,61.5,3828,421,Fornecedor VWX,2025-08-02,2025-08-24,Ativo,,85369638,,Maria Santos
MAT-00091,Cabo 10mm² Plástico,Elétrico,CX,1675.2,4516,337,Comercial DEF,2025-04-05,2025-10-27,Ativo,LOG-001,73089256,C-06-02,Paula Lima
MAT-00092,Abraçadeira PVC,Acessórios,GL,8.47,2052,110,Fornecedor VWX,2024-02-28,2024-05-13,Ativo,ADM-001,85443706,E-05-02,Paula Lima
MAT-00093,Rolamento Latão,Peças,KG,0.0,4724,145,,2024-07-26,2025-04-15,Ativo,MAN-002,73089396,F-10-04,Ana Costa
MAT-00094,Pasta PVC,Lubrificante,UN,889.68,3804,114,Nacional MNO,2024-03-24,2024-07-25,Ativo,MAN-002,85443878,C-17-05,Maria Santos
MAT-00095,Sensor Aço,Eletrônico,M,196.15,3146,,Suprimentos PQR,2025-06-21,2025-11-15,Ativo,LOG-002,,E-15-04,Pedro Souza
MAT-00096,Caixa Plástico,Embalagem,M,41.76,414,154,Materiais STU,2026-01-31,2026-10-19,Bloqueado,MAN-001,73089108,A-14-02,Pedro Souza
MAT-00097,Reagente PVC,Químico,GL,1151.12,602,207,Fornecedor VWX,2025-02-14,2025-04-28,Ativo,LOG-002,84841503,,Paula Lima
MAT-00098,Graxa Alumínio,Lubrificante,GL,173.94,2728,421,Materiais STU,2025-09-29,2026-07-17,Ativo,MAN-001,,B-13-05,Pedro Souza
