codigo_material,descricao,status,caminho,sla_horas,motivos
MAT-00001,Papel Cobre,REJEITADO,0,0,NCM vazio
MAT-00002,Registro PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00003,Catalisador Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00004,Plástico Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00005,Anel em Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00006,Reagente Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00007,Máscara Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00008,Retentor Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00009,Chave Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00010,Presilha Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00011,Conexão Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00012,Rolamento Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00013,Eixo Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00014,Solvente Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00015,Vassoura Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00016,Martelo Alumínio,REJEITADO,0,0,NCM vazio
MAT-00017,Gancho Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00018,Porca M10 Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00019,Cilindro PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00020,Cilindro Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00021,Módulo Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00022,abraçadeira PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00023,led Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00024,Fita Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00025,Bucha Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00026,Clips Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00027,Pasta em Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00028,Correia Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00029,Conexão Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00030,Correia Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00031,Registro Inox,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00032,Rolamento Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00033,Rebite Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00034,Rolamento PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00035,máscara Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00036,Etiqueta PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00037,Base Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00038,Serra PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00039,Spray Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00040,Desinfetante Cobre,REJEITADO,0,0,NCM vazio
MAT-00041,Pasta Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00042,Plástico Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00043,Spray Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00044,Eixo PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00045,Vassoura em Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00046,Junta Aço,REJEITADO,0,0,NCM vazio; Unidade 'L' não padronizada
MAT-00047,Vedação Latão,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00048,Fita Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00049,Rolamento Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00050,Clips Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00051,Spray PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00052,Cilindro Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00053,Furadeira Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'M²' não padronizada
MAT-00054,Caneta Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00055,Vedação Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00056,Plástico Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00057,Arruela Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00058,Plástico Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00059,Graxa Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00060,Óleo Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00061,Fluido Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00062,Gancho Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00063,Papelão PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00064,Ácido em Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00065,Vedação Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00066,capacitor Latão,REJEITADO,0,0,NCM vazio
MAT-00067,Abraçadeira Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00068,Rebite Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00069,Chave Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00070,Balde Aço,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00071,Disjuntor Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00072,Pasta Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00073,Sensor Alumínio,REJEITADO,0,0,NCM vazio
MAT-00074,LED Plástico,REJEITADO,0,0,NCM vazio
MAT-00075,Gancho Cobre,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00076,Tomada Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00077,Disjuntor Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00078,Grampeador Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00079,Válvula PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00080,Válvula Aço,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00081,Retentor Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00082,Clips Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00083,Rolamento Cobre,REJEITADO,0,0,NCM vazio
MAT-00084,ácido Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00085,Vedação em PVC,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00086,Resistor PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00087,Prego Cobre,REJEITADO,0,0,NCM vazio
MAT-00088,Bota PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Preço inválido (deve ser > 0)
MAT-00089,Chave Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00090,Martelo Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00091,Cabo 10mm² Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00092,Abraçadeira PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00093,Rolamento Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Preço inválido (deve ser > 0)
MAT-00094,Pasta PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00095,Sensor Aço,REJEITADO,0,0,NCM vazio
MAT-00096,Caixa Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00097,Reagente PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00098,Graxa Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'GL' não padronizada
MAT-00099,Balde Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00100,Catalisador Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00101,Anel Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00102,Capacete PVC,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00103,Parafuso M12 PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00104,Alicate Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'L' não padronizada
MAT-00105,Presilha Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00106,Clipe Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00107,Chave Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00108,Grampeador PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00109,Bucha Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00110,Desinfetante Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'GL' não padronizada
MAT-00111,Papel Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00112,Sensor Latão,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00113,Grampeador Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00114,Detergente Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'PCT' não padronizada
MAT-00115,Clipe Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00116,Bucha Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00117,Rolamento Alumínio,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00118,Suporte Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00119,Papelão Latão,REJEITADO,0,0,NCM vazio
MAT-00120,Plástico PVC,REJEITADO,0,0,NCM vazio; Unidade 'RL' não padronizada
MAT-00121,Rolamento Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00122,Prego Cobre,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
MAT-00123,Óleo PVC,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'RL' não padronizada
MAT-00124,Solvente Plástico,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00125,cabo 16mm² Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00126,Rebite Inox,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00127,Alicate Latão,REJEITADO,0,0,NCM deve ter 8 dígitos
MAT-00128,Interruptor Alumínio,REJEITADO,0,0,NCM vazio; Unidade 'PCT' não padronizada
MAT-00129,Caneta Inox,REJEITADO,0,0,NCM deve ter 8 dígitos; Unidade 'M²' não padronizada
